date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2016-08-15,Maize - Wholesale,MT,cereals and tubers,1.594,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-09-15,Maize - Wholesale,MT,cereals and tubers,1.5625,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-10-15,Maize - Wholesale,MT,cereals and tubers,1.395,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-11-15,Maize - Wholesale,MT,cereals and tubers,1.425,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2016-12-15,Maize - Wholesale,MT,cereals and tubers,1.3625,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-01-15,Maize - Wholesale,MT,cereals and tubers,1.315,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-02-15,Maize - Wholesale,MT,cereals and tubers,1.305,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-03-15,Maize - Wholesale,MT,cereals and tubers,1.3375,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-04-15,Maize - Wholesale,MT,cereals and tubers,1.4175,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-05-15,Maize - Wholesale,MT,cereals and tubers,1.472,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-06-15,Maize - Wholesale,MT,cereals and tubers,1.5025,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-07-15,Maize - Wholesale,MT,cereals and tubers,1.525,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-08-15,Maize - Wholesale,MT,cereals and tubers,1.52,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-09-15,Maize - Wholesale,MT,cereals and tubers,1.53,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-10-15,Maize - Wholesale,MT,cereals and tubers,1.505,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-11-15,Maize - Wholesale,MT,cereals and tubers,1.445,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2017-12-15,Maize - Wholesale,MT,cereals and tubers,1.545,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-01-15,Maize - Wholesale,MT,cereals and tubers,1.67,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-02-15,Maize - Wholesale,MT,cereals and tubers,1.6933,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-03-15,Maize - Wholesale,MT,cereals and tubers,1.7475,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-04-15,Maize - Wholesale,MT,cereals and tubers,1.65,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-05-15,Maize - Wholesale,MT,cereals and tubers,1.63,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-06-15,Maize - Wholesale,MT,cereals and tubers,1.59,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-07-15,Maize - Wholesale,MT,cereals and tubers,1.59,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-08-15,Maize - Wholesale,MT,cereals and tubers,1.59,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-09-15,Maize - Wholesale,MT,cereals and tubers,1.5975,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-10-15,Maize - Wholesale,MT,cereals and tubers,1.63,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-11-15,Maize - Wholesale,MT,cereals and tubers,1.72,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2018-12-15,Maize - Wholesale,MT,cereals and tubers,1.7475,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2019-01-15,Maize - Wholesale,MT,cereals and tubers,1.6933,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2019-02-15,Maize - Wholesale,MT,cereals and tubers,1.63,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2019-03-15,Maize - Wholesale,MT,cereals and tubers,1.59,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2019-04-15,Maize - Wholesale,MT,cereals and tubers,1.61,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2019-05-15,Maize - Wholesale,MT,cereals and tubers,1.714,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2019-06-15,Maize - Wholesale,MT,cereals and tubers,1.745,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-01-15,Wheat - Wholesale,MT,cereals and tubers,2.55,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-02-15,Wheat - Wholesale,MT,cereals and tubers,2.5467,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-03-15,Wheat - Wholesale,MT,cereals and tubers,2.554,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-04-15,Wheat - Wholesale,MT,cereals and tubers,2.53,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-05-15,Wheat - Wholesale,MT,cereals and tubers,2.5225,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-06-15,Wheat - Wholesale,MT,cereals and tubers,2.446,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-07-15,Wheat - Wholesale,MT,cereals and tubers,2.485,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-08-15,Wheat - Wholesale,MT,cereals and tubers,2.505,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-09-15,Wheat - Wholesale,MT,cereals and tubers,2.5575,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-10-15,Wheat - Wholesale,MT,cereals and tubers,2.56,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-11-15,Wheat - Wholesale,MT,cereals and tubers,2.558,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2014-12-15,Wheat - Wholesale,MT,cereals and tubers,2.565,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-01-15,Wheat - Wholesale,MT,cereals and tubers,2.5375,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-02-15,Wheat - Wholesale,MT,cereals and tubers,2.52,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-03-15,Wheat - Wholesale,MT,cereals and tubers,2.538,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-04-15,Wheat - Wholesale,MT,cereals and tubers,2.56,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-05-15,Wheat - Wholesale,MT,cereals and tubers,2.558,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-06-15,Wheat - Wholesale,MT,cereals and tubers,2.4075,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-07-15,Wheat - Wholesale,MT,cereals and tubers,2.4075,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-08-15,Wheat - Wholesale,MT,cereals and tubers,2.406,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-09-15,Wheat - Wholesale,MT,cereals and tubers,2.3733,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-10-15,Wheat - Wholesale,MT,cereals and tubers,2.32,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-11-15,Wheat - Wholesale,MT,cereals and tubers,2.326,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2015-12-15,Wheat - Wholesale,MT,cereals and tubers,2.375,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-01-15,Wheat - Wholesale,MT,cereals and tubers,2.38,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-02-15,Wheat - Wholesale,MT,cereals and tubers,2.3733,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-03-15,Wheat - Wholesale,MT,cereals and tubers,2.3475,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-04-15,Wheat - Wholesale,MT,cereals and tubers,2.4,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-05-15,Wheat - Wholesale,MT,cereals and tubers,2.462,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-06-15,Wheat - Wholesale,MT,cereals and tubers,2.315,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-07-15,Wheat - Wholesale,MT,cereals and tubers,2.2675,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-08-15,Wheat - Wholesale,MT,cereals and tubers,2.262,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-09-15,Wheat - Wholesale,MT,cereals and tubers,2.27,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-10-15,Wheat - Wholesale,MT,cereals and tubers,2.2825,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-11-15,Wheat - Wholesale,MT,cereals and tubers,2.295,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
2016-12-15,Wheat - Wholesale,MT,cereals and tubers,2.3125,CNY,China,Henan Sheng,909,Zhengzhou,2615,84,14,18,1,2615_84_14_18,
