#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,
2019-08-15,Rice - Retail,KG,cereals and tubers,48,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2019-09-15,Rice - Retail,KG,cereals and tubers,48,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2019-10-15,Rice - Retail,KG,cereals and tubers,47,NPR,Nepal,Central,2152,Kathmandu,652,52,15,5,1,652_52_15_5,
2004-01-15,Wheat - Retail,KG,cereals and tubers,21,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-02-15,Wheat - Retail,KG,cereals and tubers,21,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-03-15,Wheat - Retail,KG,cereals and tubers,21,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-04-15,Wheat - Retail,KG,cereals and tubers,21,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-05-15,Wheat - Retail,KG,cereals and tubers,20.7,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-06-15,Wheat - Retail,KG,cereals and tubers,20.4,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-07-15,Wheat - Retail,KG,cereals and tubers,20.4,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-08-15,Wheat - Retail,KG,cereals and tubers,20.9,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-09-15,Wheat - Retail,KG,cereals and tubers,20.4,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-10-15,Wheat - Retail,KG,cereals and tubers,20.4,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-11-15,Wheat - Retail,KG,cereals and tubers,20.05,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2004-12-15,Wheat - Retail,KG,cereals and tubers,19,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2005-01-15,Wheat - Retail,KG,cereals and tubers,19,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2005-02-15,Wheat - Retail,KG,cereals and tubers,19,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2005-03-15,Wheat - Retail,KG,cereals and tubers,18,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2005-04-15,Wheat - Retail,KG,cereals and tubers,18,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2005-05-15,Wheat - Retail,KG,cereals and tubers,18.5,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2005-06-15,Wheat - Retail,KG,cereals and tubers,18.5,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
2005-07-15,Wheat - Retail,KG,cereals and tubers,18.5,NPR,Nepal,Central,2152,Kathmandu,652,84,15,5,1,652_84_15_5,
